Symbol,Year,Year End,Share Capital,Face Value,Shares,Equity,Assets,Sales,Interest Ex.,EBT,Net Income,EPS,Dividend %
  BAFL,  2017,  2017-12-31,  16075.72,  10,  1607.57,  58544.63,  988828.83,  66813.08,  0,  14044.98,  8367.3,  5.2,  15
  BAFL,  2016,  2016-12-31,  15952.08,  10,  1595.21,  49185.19,  917457.05,  66112.7,  0,  13023.16,  7899.91,  4.95,  0
  BAFL,  2015,  2015-12-31,  15898.06,  10,  1589.81,  42424.78,  902607.52,  70299.43,  0,  12604.07,  7522.81,  4.73,  10
  BAFL,  2014,  2014-12-31,  15872.43,  10,  1587.24,  37823.83,  743128.29,  64414.92,  0,  8513.57,  5640.85,  3.55,  20
  BAFL,  2013,  2013-12-31,  13491.56,  10,  1349.16,  28265.62,  610614.31,  52239.75,  0,  6807.21,  4675.95,  3.47,  20
  BAFL,  2012,  2012-12-31,  13491.56,  10,  1349.16,  25689.74,  536466.69,  53361.26,  0,  6783.2,  4556.12,  3.38,  20
  BAFL,  2011,  2011-12-31,  13491.56,  10,  1349.16,  22839.89,  468173.81,  49665.89,  0,  5443.72,  3503.13,  2.6,  17.5
  BAFL,  2010,  2010-12-31,  13491.56,  10,  1349.16,  19726.56,  411483.84,  42238.42,  0,  1368.75,  968.45,  0.72,  0
  BAFL,  2009,  2009-12-31,  13491.56,  10,  1349.16,  19770.26,  389070.06,  40743.57,  0,  1016.32,  897.04,  0.66,  8
