Symbol,Year,Year End,Share Capital,Face Value,Shares,Equity,Assets,Sales,Interest Ex.,EBT,Net Income,EPS,Dividend %
AKBL,2017,  2017-12-31,  12602.6,  10,  1260.26,  27400.9,  656708.37,  42522.7,  0,  8491.8,  5267.89,  4.18,  10
AKBL,2016,  2016-12-31,  12602.6,  10,  1260.26,  25357.49,  619139.19,  42618.67,  0,  8476.95,  5220.64,  4.14,  15
AKBL,2015,  2015-12-31,  12602.6,  10,  1260.26,  21811.8,  535866.71,  43281.68,  0,  8431.7,  5043.42,  4,  22.5
AKBL,2014,  2014-12-31,  12602.6,  10,  1260.26,  19288.56,  447082.54,  39921.42,  0,  5781.41,  4014.93,  3.19,  20
AKBL,2013,  2013-12-31,  12602.6,  10,  1260.26,  16633.04,  394827.5,  31558.95,  0,  -8440.5,  -5479.9,  -4.35,  0
AKBL,2012,  2012-12-31,  8130.71,  10,  813.07,  17677.42,  353055.62,  36519.55,  0,  1729.73,  1255.36,  1.54,  0
AKBL,2011,  2011-12-31,  7070.18,  10,  707.02,  16508.78,  343756.31,  35669.27,  0,  2412.75,  1627.7,  2.3,  0
AKBL,2010,  2010-12-31,  6427.44,  10,  642.74,  14820.58,  314744.56,  30129.21,  0,  1273.14,  943.18,  1.47,  0
AKBL,2009,  2009-12-31,  5073.47,  10,  507.35,  13142.69,  254327.45,  25216.46,  0,  1642.24,  1107.79,  2.18,  0
